Wavelength (nm),Absorption Coefficient,Intensity Ratio at 1m
580,0.04398333549892898,0.9569699047661724
581,0.044529874641887034,0.9564470261544146
582,0.045245531280738084,0.9557627833610903
583,0.04615381902904889,0.9548950698610968
584,0.04706210677735969,0.9540281441368269
585,0.047970394525670486,0.9531620054730781
586,0.04887868227398129,0.9522966531552977
587,0.04978697002229209,0.9514320864695814
588,0.05099838140795471,0.9502802086471687
589,0.05260869745325517,0.9487511886128108
590,0.05421901349855563,0.9472246288025471
591,0.05582932954385609,0.9457005252578273
592,0.05743964558915655,0.9441788740264706
593,0.059049961634457006,0.9426596711626551
594,0.06115536778049901,0.9406770775121511
595,0.0642505653426053,0.9377699974295771
596,0.0673457629047116,0.9348719014232695
597,0.06995590564431635,0.9324349341171261
598,0.07118940967031426,0.9312854809452132
599,0.07242291369631217,0.9301374447543101
600,0.07365641772231007,0.9289908237976425
601,0.07488992174830798,0.9278456163305895
602,0.07612342577430589,0.9267018206106807
603,0.07735692980030379,0.9255594348975941
604,0.0785904338263017,0.9244184574531528
605,0.0798239378522996,0.9232788865413224
606,0.08105744187829751,0.9221407204282093
607,0.08229094590429542,0.9210039573820566
608,0.08352444993029333,0.9198685956732426
609,0.08475795395629124,0.9187346335742779
610,0.08559175621228181,0.9179689098395983
611,0.08633129009714482,0.9172902916870092
612,0.08707082398200784,0.9166121752100127
613,0.08781035786687086,0.9159345600377402
614,0.08854989175173389,0.9152574457995968
615,0.0892894256365969,0.9145808321252616
616,0.09002895952145992,0.9139047186446877
617,0.09076849340632294,0.9132291049881015
618,0.09150802729118596,0.9125539907860029
619,0.09224756117604897,0.9118793756691649
620,0.09298709506091199,0.9112052592686335
621,0.093726628945775,0.9105316412157275
622,0.09442057970186181,0.9098999962854517
623,0.09469484627986509,0.9096504753463365
624,0.09496911285786835,0.9094010228330914
625,0.09524337943587162,0.9091516387269523
626,0.0955176460138749,0.9089023230091599
627,0.09579191259187816,0.9086530756609599
628,0.09606617916988143,0.9084038966636037
629,0.09634044574788471,0.9081547859983473
630,0.09661471232588797,0.9079057436464522
631,0.09688897890389124,0.9076567695891848
